date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:16	66801/66801	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:16%20GMT	https://www.lanlink.com.br/	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/index.html	(from )
12:05:16	3118/3118	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%226b27548622a551bc3e1b471cf64be3e0%22	https://www.lanlink.com.br/robots.txt		(from )
12:05:17	205992/205992	---M-Z	200	added ('OK')	text/css	etag:%226d7ff54dd398be1490a2fdd1a1768376%22	https://uploads-ssl.webflow.com/618d42f5e921288000cc555a/css/lanlink.webflow.61f8bb1a6.min.css	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/uploads-ssl.webflow.com/618d42f5e921288000cc555a/css/lanlink.webflow.61f8bb1a6.min.css	(from https://www.lanlink.com.br/)
12:05:18	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.lanlink.com.br/)
12:05:18	2539/2539	---M--	200	added ('OK')	image/png	etag:%22207da96027afcd032f3ce4b05f9c6899%22	https://uploads-ssl.webflow.com/618d42f5e921288000cc555a/61b7772ce0d0840a3a306cdd_icon-lanlink-32.png	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/uploads-ssl.webflow.com/618d42f5e921288000cc555a/61b7772ce0d0840a3a306cdd_icon-lanlink-32.png	(from https://www.lanlink.com.br/)
12:05:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2015:05:19%20GMT	http://tag.goadopt.io/injector.js?website_code=46417d72-6730-4e75-b7cc-63c71c9ae083	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/tag.goadopt.io/injector.41c3b.delayed	(from https://www.lanlink.com.br/)
12:05:19	32214/32214	---M--	200	added ('OK')	image/png	etag:%2271cd955f3382f177a03f14f21d0f6b91%22	https://uploads-ssl.webflow.com/618d42f5e921288000cc555a/61b777280da47c684de2cf03_icon-lanlink-256.png	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/uploads-ssl.webflow.com/618d42f5e921288000cc555a/61b777280da47c684de2cf03_icon-lanlink-256.png	(from https://www.lanlink.com.br/)
12:05:20	206559/206559	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2003%20Mar%202023%2015:05:20%20GMT	https://tag.goadopt.io/injector.js?website_code=46417d72-6730-4e75-b7cc-63c71c9ae083	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/tag.goadopt.io/injector1c3b.js	(from https://www.lanlink.com.br/)
12:05:20	57/57	---MCZ	302	error ('Found')	text/plain	date:Fri,%2003%20Mar%202023%2015:05:21%20GMT	https://unpkg.com/swiper@7/swiper-bundle.min.css	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/unpkg.com/swiper@7/swiper-bundle.min.6.delayed	(from https://www.lanlink.com.br/)
12:05:21	15563/15563	---MCZ	200	added ('OK')	text/css	etag:%223ccb-5Koe10fACH1gYqRziowpfORPwas%22	https://unpkg.com/swiper@7.4.1/swiper-bundle.min.css	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/unpkg.com/swiper@7.4.1/swiper-bundle.min.css	(from https://www.lanlink.com.br/)
12:05:21	2775/2775	---M--	200	added ('OK')	text/html	etag:%2264009d92-ad7%22	https://chatwhatsapp.lanlink.com.br/static/js/user-poll.js	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/chatwhatsapp.lanlink.com.br/static/js/user-poll.html	(from https://www.lanlink.com.br/)
12:05:22	29838/29838	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:22%20GMT	https://www.lanlink.com.br/quem-somos	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/quem-somos.html	(from https://www.lanlink.com.br/)
12:05:22	31542/31542	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:22%20GMT	https://www.lanlink.com.br/compliance	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/compliance.html	(from https://www.lanlink.com.br/)
12:05:22	20081/20081	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:23%20GMT	https://www.lanlink.com.br/parceiro-lanlink	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/parceiro-lanlink.html	(from https://www.lanlink.com.br/)
12:05:23	20747/20747	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:23%20GMT	https://www.lanlink.com.br/conformidade-e-privacidade-lgpd	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/conformidade-e-privacidade-lgpd.html	(from https://www.lanlink.com.br/)
12:05:23	34225/34225	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:23%20GMT	https://www.lanlink.com.br/solucoes/central-de-servicos	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/solucoes/central-de-servicos.html	(from https://www.lanlink.com.br/)
12:05:23	36401/36401	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:24%20GMT	https://www.lanlink.com.br/solucoes/dados-ia	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/solucoes/dados-ia.html	(from https://www.lanlink.com.br/)
12:05:23	43373/43373	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:24%20GMT	https://www.lanlink.com.br/solucoes/infraestrutura	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/solucoes/infraestrutura.html	(from https://www.lanlink.com.br/)
12:05:24	39595/39595	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:25%20GMT	https://www.lanlink.com.br/solucoes/produtividade	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/solucoes/produtividade.html	(from https://www.lanlink.com.br/)
12:05:25	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2003%20Mar%202023%2015:05:25%20GMT	http://www.lanlink.com.br/solucoes/seguranca	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/solucoes/seguranca.11.delayed	(from https://www.lanlink.com.br/)
12:05:25	29025/29025	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:26%20GMT	https://www.lanlink.com.br/solucoes/seguranca	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/solucoes/seguranca.html	(from https://www.lanlink.com.br/)
12:05:25	27834/27834	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:26%20GMT	https://www.lanlink.com.br/verticais/privado/agronegocio	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/verticais/privado/agronegocio.html	(from https://www.lanlink.com.br/)
12:05:26	26502/26502	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:26%20GMT	https://www.lanlink.com.br/verticais/privado/educacao	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/verticais/privado/educacao.html	(from https://www.lanlink.com.br/)
12:05:26	28432/28432	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:27%20GMT	https://www.lanlink.com.br/verticais/privado/energia	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/verticais/privado/energia.html	(from https://www.lanlink.com.br/)
12:05:26	30277/30277	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:27%20GMT	https://www.lanlink.com.br/verticais/privado/industria	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/verticais/privado/industria.html	(from https://www.lanlink.com.br/)
12:05:27	27819/27819	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:27%20GMT	https://www.lanlink.com.br/verticais/privado/financeiro	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/verticais/privado/financeiro.html	(from https://www.lanlink.com.br/)
12:05:27	26051/26051	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:27%20GMT	https://www.lanlink.com.br/verticais/privado/varejo	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/verticais/privado/varejo.html	(from https://www.lanlink.com.br/)
12:05:27	36858/36858	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:28%20GMT	https://www.lanlink.com.br/verticais/publico/bancos-publicos	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/verticais/publico/bancos-publicos.html	(from https://www.lanlink.com.br/)
12:05:27	33848/33848	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:28%20GMT	https://www.lanlink.com.br/verticais/publico/executivo-federal	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/verticais/publico/executivo-federal.html	(from https://www.lanlink.com.br/)
12:05:27	32519/32519	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:28%20GMT	https://www.lanlink.com.br/verticais/publico/judiciario	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/verticais/publico/judiciario.html	(from https://www.lanlink.com.br/)
12:05:28	33715/33715	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:28%20GMT	https://www.lanlink.com.br/verticais/publico/secretaria-da-fazenda	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/verticais/publico/secretaria-da-fazenda.html	(from https://www.lanlink.com.br/)
12:05:28	35289/35289	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:29%20GMT	https://www.lanlink.com.br/cases	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/cases.html	(from https://www.lanlink.com.br/)
12:05:28	130474/130474	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:29%20GMT	https://www.lanlink.com.br/blog	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/blog.html	(from https://www.lanlink.com.br/)
12:05:29	21170/21170	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:29%20GMT	https://www.lanlink.com.br/contato	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/contato.html	(from https://www.lanlink.com.br/)
12:05:30	195976/195976	---M--	200	added ('OK')	image/jpeg	etag:%22ea1d736956ecbe39c9bba5e0ab88eea6%22	https://uploads-ssl.webflow.com/618d42f5e921288000cc555a/6390994dc437429a939a7067_GPTW%20Ceara%202022%20(824).JPG	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/uploads-ssl.webflow.com/618d42f5e921288000cc555a/6390994dc437429a939a7067_GPTW%20Ceara%202022%20(824).jpg	(from https://www.lanlink.com.br/)
12:05:31	26257/26257	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2015:05:31%20GMT	https://www.lanlink.com.br/solucoes/infraestrutura/solucoes-em-cloud	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/www.lanlink.com.br/solucoes/infraestrutura/solucoes-em-cloud.html	(from https://www.lanlink.com.br/)
12:05:31	443237/443237	---M--	200	added ('OK')	image/png	etag:%22ac77822a5911255c9f0851fd56e47249%22	https://uploads-ssl.webflow.com/618d42f5e921288000cc555a/625eaf4081be18a9a90c4d3b_618d83c2e49893688e9c082f_HEAD-LANLINK2%5D%201.png	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/uploads-ssl.webflow.com/618d42f5e921288000cc555a/625eaf4081be18a9a90c4d3b_618d83c2e49893688e9c082f_HEAD-LANLINK2]%201.png	(from https://www.lanlink.com.br/)
12:05:32	544680/544680	---M--	200	added ('OK')	image/jpeg	etag:%22f8583085fa2ef11bf5cc0ad08bf9627c%22	https://uploads-ssl.webflow.com/618d42f5e921288000cc555a/62fd530dd084700c3582f9bb_continuidade%20de%20neg%c3%b3cios.jpg	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/uploads-ssl.webflow.com/618d42f5e921288000cc555a/62fd530dd084700c3582f9bb_continuidade%20de%20neg%c3%b3cios.jpg	(from https://www.lanlink.com.br/)
12:05:32	308/308	---M--	200	added ('OK')	image/png	etag:%22a75ddf0489ffdaae4f3608fd6f4ed92c%22	https://uploads-ssl.webflow.com/618d42f5e921288000cc555a/6196dd7e0873835521c9ebcc_icon-arrow-left.png	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/uploads-ssl.webflow.com/618d42f5e921288000cc555a/6196dd7e0873835521c9ebcc_icon-arrow-left.png	(from https://www.lanlink.com.br/)
12:05:33	272/272	---M--	200	added ('OK')	image/png	etag:%22041c7d9934e4b387728690133953947e%22	https://uploads-ssl.webflow.com/618d42f5e921288000cc555a/6196dd7dc05f116c2fcd4de7_icon-arrow-right.png	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/uploads-ssl.webflow.com/618d42f5e921288000cc555a/6196dd7dc05f116c2fcd4de7_icon-arrow-right.png	(from https://www.lanlink.com.br/)
12:05:34	134757/134757	---M--	200	added ('OK')	image/png	etag:%2245dda6577086f633e03749ff55a2056c%22	https://uploads-ssl.webflow.com/618d42f5e921288000cc555a/625eaf3fdcf244d463bb48a5_61b7608ae8858105328494d1_SEGUNDA-DOBRA-LANLINK_02.png	C:/Users/Pedro/Desktop/Lanlinkwebsite/Desafio02/uploads-ssl.webflow.com/618d42f5e921288000cc555a/625eaf3fdcf244d463bb48a5_61b7608ae8858105328494d1_SEGUNDA-DOBRA-LANLINK_02.png	(from https://www.lanlink.com.br/)
